SaleID,CustomerID,ProductID,SaleDate,Quantity,UnitPrice,TotalPrice,Discount,PaymentMethod,SalesChannel,Price
5.0,5.0,5.0,3/2/2024,9,500,4450,50,Cash,Online,500
6.0,6.0,6.0,4/23/2024,7,500,3450,50,Bank Transfer,In-Store,500
7.0,7.0,7.0,4/25/2024,5,600,2940,60,Cash,In-Store,600
8.0,8.0,8.0,3/2/2024,4,430,1677,43,PayPal,In-Store,430
9.0,9.0,9.0,3/17/2024,3,250,725,25,Credit Card,Online,250
10.0,10.0,10.0,4/29/2024,5,600,2940,60,PayPal,In-Store,600
11.0,11.0,11.0,5/7/2024,9,550,4895,55,Cash,Online,550
12.0,12.0,12.0,3/3/2024,5,430,2107,43,Credit Card,Online,430
13.0,13.0,13.0,6/8/2024,6,100,590,10,Bank Transfer,Online,100
14.0,14.0,14.0,1/3/2024,7,200,1380,20,Cash,In-Store,200
15.0,15.0,15.0,4/7/2024,4,430,1677,43,PayPal,In-Store,430
16.0,16.0,16.0,1/5/2024,5,500,2450,50,Bank Transfer,Online,500
17.0,17.0,17.0,1/14/2024,4,600,2340,60,Cash,In-Store,600
18.0,18.0,18.0,4/30/2024,5,550,2695,55,Cash,Online,550
19.0,19.0,19.0,2/8/2024,9,530,4717,53,PayPal,Online,530
20.0,20.0,20.0,3/13/2024,3,430,1247,43,PayPal,Online,430
21.0,21.0,21.0,4/9/2024,8,600,4740,60,Cash,In-Store,600
22.0,22.0,22.0,3/11/2024,3,700,2030,70,Bank Transfer,In-Store,700
23.0,23.0,23.0,5/25/2024,7,230,1587,23,PayPal,Online,230
24.0,24.0,24.0,4/12/2024,1,450,405,45,Credit Card,In-Store,450
25.0,25.0,25.0,5/3/2024,6,130,767,13,PayPal,In-Store,130
26.0,26.0,26.0,5/17/2024,7,550,3795,55,Credit Card,In-Store,550
27.0,27.0,27.0,6/4/2024,5,250,1225,25,Bank Transfer,In-Store,250
28.0,28.0,28.0,3/28/2024,6,270,1593,27,Bank Transfer,In-Store,270
29.0,29.0,29.0,4/9/2024,2,270,513,27,Bank Transfer,In-Store,270
30.0,30.0,30.0,6/14/2024,4,450,1755,45,PayPal,Online,450
31.0,31.0,31.0,5/13/2024,6,150,885,15,Bank Transfer,In-Store,150
32.0,32.0,32.0,1/30/2024,3,600,1740,60,Bank Transfer,In-Store,600
33.0,33.0,33.0,3/2/2024,9,450,4005,45,Bank Transfer,Online,450
34.0,34.0,34.0,5/16/2024,7,130,897,13,Credit Card,Online,130
35.0,35.0,35.0,4/10/2024,5,700,3430,70,Cash,In-Store,700
36.0,36.0,36.0,5/30/2024,7,430,2967,43,Cash,In-Store,430
37.0,37.0,37.0,5/22/2024,7,430,2967,43,PayPal,Online,430
38.0,38.0,38.0,5/29/2024,3,450,1305,45,Bank Transfer,Online,450
39.0,39.0,39.0,3/25/2024,7,500,3450,50,PayPal,In-Store,500
40.0,40.0,40.0,3/5/2024,1,430,387,43,PayPal,Online,430
41.0,41.0,41.0,4/2/2024,6,450,2655,45,PayPal,Online,450
42.0,42.0,42.0,1/21/2024,8,200,1580,20,Credit Card,In-Store,200
43.0,43.0,43.0,5/28/2024,7,550,3795,55,Cash,Online,550
44.0,44.0,44.0,4/25/2024,9,650,5785,65,Cash,In-Store,650
45.0,45.0,45.0,1/23/2024,2,130,247,13,PayPal,Online,130
46.0,46.0,46.0,3/26/2024,7,700,4830,70,PayPal,Online,700
47.0,47.0,47.0,3/28/2024,4,130,507,13,Bank Transfer,Online,130
48.0,48.0,48.0,1/16/2024,6,250,1475,25,Bank Transfer,In-Store,250
49.0,49.0,49.0,1/15/2024,1,300,270,30,Bank Transfer,In-Store,300
50.0,50.0,50.0,3/15/2024,5,150,735,15,PayPal,In-Store,150
51.0,51.0,51.0,6/13/2024,8,130,1027,13,Bank Transfer,Online,130
52.0,52.0,52.0,2/4/2024,9,200,1780,20,Cash,Online,200
53.0,53.0,53.0,5/11/2024,3,430,1247,43,Cash,In-Store,430
54.0,54.0,54.0,1/15/2024,1,250,225,25,Bank Transfer,Online,250
55.0,55.0,55.0,4/21/2024,2,150,285,15,Credit Card,Online,150
56.0,56.0,56.0,3/16/2024,2,130,247,13,Credit Card,Online,130
57.0,57.0,57.0,1/18/2024,9,150,1335,15,Cash,In-Store,150
58.0,58.0,58.0,5/16/2024,3,500,1450,50,Bank Transfer,In-Store,500
59.0,59.0,59.0,6/1/2024,5,250,1225,25,Credit Card,Online,250
60.0,60.0,60.0,2/21/2024,6,530,3127,53,PayPal,Online,530
61.0,61.0,61.0,4/11/2024,9,130,1157,13,Bank Transfer,Online,130
62.0,62.0,62.0,3/10/2024,2,650,1235,65,Bank Transfer,In-Store,650
63.0,63.0,63.0,1/26/2024,5,300,1470,30,Cash,In-Store,300
64.0,64.0,64.0,3/15/2024,1,530,477,53,Cash,In-Store,530
65.0,65.0,65.0,1/11/2024,5,150,735,15,PayPal,Online,150
66.0,66.0,66.0,4/4/2024,3,550,1595,55,Credit Card,In-Store,550
67.0,67.0,67.0,3/4/2024,4,100,390,10,Cash,In-Store,100
68.0,68.0,68.0,5/7/2024,1,250,225,25,Bank Transfer,In-Store,250
69.0,69.0,69.0,1/4/2024,3,200,580,20,Cash,Online,200
70.0,70.0,70.0,3/23/2024,7,600,4140,60,Cash,Online,600
71.0,71.0,71.0,4/29/2024,5,450,2205,45,Bank Transfer,In-Store,450
72.0,72.0,72.0,5/15/2024,4,250,975,25,Credit Card,Online,250
